                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0731,                 4.8338,                 4.0963,                0.00062,                0.36212,                0.00262,                0.00051,                 3.0045,                  3.908,                 4.0798,             0.00020518,             0.00020518,             0.00020518
                      2,                 2.7742,                 4.4521,                 3.6399,                 0.5391,                0.41667,                 0.2557,                0.08726,                  2.179,                 4.7964,                 2.9357,             0.00040532,             0.00040532,             0.00040532
                      3,                 2.5025,                 3.9776,                 3.1991,                 0.1409,                 0.8313,                0.47637,                0.24876,                 1.7754,                 4.2258,                 2.4416,             0.00059722,             0.00059722,             0.00059722
                      4,                 2.1365,                 3.5976,                 2.7666,                0.37288,                0.69534,                0.59149,                0.31469,                 1.7827,                  2.328,                 2.1611,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.8638,                  3.214,                 2.4703,                0.63445,                0.72797,                0.81637,                0.43548,                 1.8585,                  1.789,                 2.1724,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.6693,                 2.8489,                  2.289,                0.57551,                0.81415,                0.85752,                0.51114,                 1.5078,                 1.6037,                 1.8654,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.5946,                 2.6075,                 2.1453,                0.82559,                0.90816,                 0.9571,                0.68052,                 1.1758,                 1.1128,                 1.6941,             0.00055075,             0.00055075,             0.00055075
                      8,                 1.4622,                 2.3172,                 2.0262,                0.66679,                0.94674,                0.96035,                0.64679,                 1.2228,                 1.1328,                 1.6631,             0.00053838,             0.00053838,             0.00053838
                      9,                 1.3849,                 2.1213,                 1.9388,                0.92267,                0.96722,                0.98758,                0.71028,                 1.1592,                0.94738,                  1.585,               0.000526,               0.000526,               0.000526
                     10,                 1.3106,                 1.9268,                 1.8675,                0.91867,                0.98563,                  0.995,                0.57598,                  1.501,                0.89582,                 1.7159,             0.00051363,             0.00051363,             0.00051363
                     11,                 1.2612,                 1.8057,                 1.8219,                0.96715,                0.99277,                  0.995,                0.73376,                 1.0789,                 0.6954,                 1.4483,             0.00050125,             0.00050125,             0.00050125
